product_id,product_name,source_url,price_usd
14,Abstract Brushstroke Midi Dress,,
15,Assorted Office Attire,,
16,Assorted Pant Suits,,
18,Black Stylist Suit,,
19,Blush One Shoulderpleated Hem Mini,,
20,Blush Puff Sleeve Belted Midi,,
21,Bubblegum Ruched Midi,,
22,Burgundy Flaredress,,
23,Burgundy Skirtsuit,,
24,Camel Maxi And Black Bow Blouse,,
25,Chartreuse Belted Lapel Shirtdress,,
26,Citrus Architectural Cocktail Dress,,
27,Creamy Blue,,
28,Crimson And Ivory With Hat,,
29,Crimson Feather Ballgown,,
30,Drape Peplum Cocktaildress,,
31,Dusty Rosemauve Suit,,
32,Emerald Belted Waistcoat,,
33,Emerald Suit,,
34,Emeraldfloralstatementmididress,,
35,Executive Office Dress,,
36,Fashion Floral,,
37,Fashion Trio,,
38,Fasnion Orange,,
39,Flashy Duo,,
40,Floral Applique Pantsuit,,
41,Formal Dress,,
42,Fuchsia Shaw Llapel Pantsuit,,
43,Grey Suit,,
44,Hot Pink Peplum Skirt Suit,,
45,Ice Blue Pleated Satin Mini,,
46,Ivory Blazer Midipencil Skirt,,
47,Lemon One Shouldertea Length Gown,,
48,Lilac Pleated Dress,,
49,Magenta Gown,,
50,Magenta Pleated Chainbucklebelt,,
51,Magenta Power Suit Pocket Blazer,,
52,Magenta Roseprint Cocktail,,
53,Marigold Off Shoulder Ballgown,,
54,Maroon Orange Duo Suits,,
55,Maroon Ruffle Hem Sheath,,
56,Mint Oneshoulder Floral Midi,,
57,Monochrome Mini Dress Duo,,
58,Monstera Wrap Midi Dress,,
59,Mustard Gold Button Belted Pantsuit,,
60,Navy And Colorblock Mini,,
61,Navy Dot Fit Flare,,
62,Navy Lapel Pantsuit Strapless,,
63,Navy Peplum Skirt Suit,,
64,Navy Satin Bishop Sleeve Midi,,
65,Navy Stripe Wrap Maxi Charm Belt,,
66,Noir Ruched Midi Dress,,
67,Noir Scroll Sleeve Sheathand,,
68,Oatmeal Double Breast Suit,,
69,Ocean Green Suit,,
70,Olive Abstract Ruffle Sleeve,,
71,Orange Green Duo,,
72,Peach One Shoulder Floral Midi,,
73,Pinkish Purple Suit,,
74,Polka Dot Peplum Slit Pencil Skirt,,
75,Powder Blue Sleevemidi,,
76,Purple Haze Suit,,
77,Purple Lovely Suit,,
78,Purple Pant Suit,,
79,Red Polka,,
80,Royal Blue Suit,,
81,Royal Purple Rhinestone Midi,,
82,Rust Suit,,
83,Satin Pleated Bandeau Mini,,
84,Satin Puff Sleeve Slit Midi,,
85,Scarlet Asymmetric Peplum Sheath,,
86,Scyenee,,
87,Sky Marble Pleated Midi,,
88,Tan Ropeprint Sheath,,
89,Taup Suit,,
90,Teal Suit,,
91,Teal Violet Tea Dress,,
92,"Three Panel  Brown, Navy, And Magenta Suits",,
93,Vintage Rose Belt Dot Midi,,
94,Violet Watercolor One Shoulder Midi,,
95,Watercolor Puff Sleeve,,
96,White Paisley Puff Midi,,
97,White Pleated Midi Violet Fascinator,,
98,White Polka,,
99,Pane Plum Vest Magenta Wideleg,,
